0 15398
1 15369
2 15349
3 15359
4 15377
5 15382
6 15383
7 15407
8 15423
9 15470
10 15487
11 15512
12 15521
13 15530
14 15534
15 15555
16 15585
17 15619
18 15649
19 15773
20 17408
21 18024
22 17784
23 16798
24 16659
25 16641
26 16647
27 16602
28 16593
29 16589
30 16598
31 16598
32 16586
33 16558
34 16543
35 16531
36 16517
37 16502
38 16481
39 16433
40 16419
41 16425
42 16420
43 16408
44 16361
45 16324
46 16250
47 16044
48 15875
49 15746
50 15567
51 15419
52 15269
53 15175
54 15182
55 15234
56 15337
57 15541
58 15750
59 15908
60 16003
61 15982
62 15928
63 15874
64 15808
65 15746
66 15668
67 15604
68 15538
69 15470
70 15412
71 15352
72 15291
73 15218
74 15141
75 15061
76 14995
77 14904
78 14811
79 14738
80 14644
81 14525
82 14408
83 14302
84 14160
85 14003
86 13781
87 13252
88 12499
89 12026
90 11935
91 11760
92 11668
93 11756
94 11840
95 11886
