0 11689
1 11653
2 11606
3 11567
4 11541
5 11521
6 11525
7 11516
8 11514
9 11507
10 11505
11 11497
12 11491
13 11482
14 11490
15 11499
16 11482
17 11484
18 11490
19 11513
20 11512
21 11511
22 11519
23 11518
24 11520
25 11532
26 11534
27 11544
28 11562
29 11577
30 11585
31 11600
32 11626
33 11631
34 11649
35 11674
36 11689
37 11634
38 11471
39 11354
40 11297
41 11300
42 11315
43 11390
44 11518
45 11670
46 11796
47 11820
48 11846
49 11863
50 11887
51 11889
52 11894
53 11910
54 11913
55 11910
56 11918
57 11927
58 11932
59 11927
60 11921
61 11907
62 11838
63 11621
64 11512
65 11446
66 11440
67 11450
68 11536
69 11674
70 11839
71 11918
72 11924
73 11915
74 11915
75 11923
76 11923
77 11916
78 11900
79 11871
80 11844
81 11833
82 11700
83 11517
84 11391
85 11326
86 11306
87 11327
88 11371
89 11460
90 11549
91 11639
92 11685
93 11692
94 11675
95 11653
96 11636
97 11630
98 11613
99 11596
100 11568
101 11551
102 11545
103 11528
104 11508
105 11474
106 11451
107 11429
108 11417
109 11397
110 11395
111 11383
112 11359
113 11349
114 11347
115 11337
116 11329
117 11322
118 11300
119 11276
120 11236
121 11134
122 10971
123 10768
124 10659
125 10616
126 10595
127 10605
